City,PM2.5,PM10,NO2,SO2,CO,O3,AQI
Mumbai,51.3,68.3,53.4,13.5,2.6,25.4,90.6
Chennai,331.3,255.4,109.7,26.7,4.78,175.9,340.8
Kolkata,370.7,342.4,69.0,55.8,0.62,186.7,377.5
Bangalore,348.0,245.8,141.3,2.8,8.44,73.0,30.0
Delhi,383.7,576.1,125.4,66.3,7.97,119.5,326.4
Mumbai,234.4,577.0,20.3,26.8,5.9,160.4,489.4
Chennai,267.9,289.1,109.3,52.3,1.29,163.7,438.8
Kolkata,348.7,498.2,112.9,95.4,6.06,174.9,310.7
Bangalore,346.2,548.9,125.9,72.8,8.62,73.7,34.5
Delhi,187.2,109.9,137.5,40.8,2.47,37.9,390.2
Mumbai,440.6,207.6,62.2,77.7,1.42,32.3,176.4
Chennai,331.9,487.1,56.5,85.7,7.17,24.6,372.5
Kolkata,17.0,181.0,56.2,49.5,6.72,57.7,26.9
Bangalore,30.0,414.8,36.3,83.0,7.23,123.1,105.5
Delhi,180.0,479.7,105.9,94.5,8.2,14.9,61.6
Mumbai,104.4,562.6,62.8,41.6,3.59,4.4,252.7
Chennai,188.0,382.4,32.1,15.6,8.34,189.7,17.0
Kolkata,242.0,375.5,103.8,97.9,4.66,25.7,368.7
Bangalore,424.1,222.4,100.8,11.6,4.32,29.5,297.4
Delhi,79.8,346.1,27.5,80.6,0.23,18.4,410.5
Mumbai,168.1,41.8,69.5,40.6,8.52,20.7,166.8
Chennai,36.3,536.0,81.2,66.1,3.23,98.1,192.6
Kolkata,475.1,573.1,9.3,95.3,6.27,95.7,50.8
Bangalore,399.7,182.5,106.5,3.5,1.14,99.6,183.1
Delhi,357.8,131.3,15.4,68.8,9.25,148.6,273.6
Mumbai,76.0,85.9,43.8,49.9,2.17,128.0,265.6
Chennai,499.9,574.0,59.0,80.4,1.92,166.4,499.7
Kolkata,327.3,310.1,45.1,99.6,7.99,32.5,210.0
Bangalore,17.4,572.2,72.4,88.2,2.83,134.6,108.5
Delhi,146.0,192.3,66.1,65.8,6.72,11.5,448.2
Mumbai,282.3,226.8,82.0,72.3,5.93,173.1,49.2
Chennai,72.6,488.3,88.4,98.9,8.27,27.5,287.4
Kolkata,457.9,301.6,136.9,71.7,3.2,52.1,161.5
Bangalore,259.1,482.4,67.1,35.4,9.7,143.9,178.4
Delhi,316.1,364.5,29.8,0.5,0.94,149.1,244.4
Mumbai,68.8,2.6,135.2,4.1,4.15,55.1,79.3
Chennai,104.4,282.4,42.4,36.2,6.85,97.0,17.2
Kolkata,194.0,320.4,104.4,0.4,7.03,43.2,308.2
Bangalore,434.8,57.2,106.9,1.9,9.83,177.5,53.0
Delhi,457.2,44.2,141.5,21.1,5.81,26.1,482.6
Mumbai,254.9,466.9,112.5,45.0,1.49,128.8,433.4
Chennai,297.9,431.1,34.2,43.7,3.2,195.3,65.6
Kolkata,7.8,146.6,91.2,26.3,4.87,44.9,491.7
Bangalore,22.6,140.8,75.3,22.7,8.61,26.1,492.7
Delhi,354.1,323.3,20.2,30.0,4.88,76.0,475.9
Mumbai,34.1,549.6,61.2,51.3,6.97,176.4,372.7
Chennai,146.5,385.7,82.8,55.6,4.75,157.1,404.7
Kolkata,143.2,321.5,2.2,32.8,5.89,45.9,205.9
Bangalore,498.5,199.5,89.7,46.0,3.88,195.7,134.3
Delhi,412.7,404.6,103.2,71.1,0.62,170.0,265.6
Mumbai,150.9,450.9,58.3,55.7,7.1,135.9,397.9
Chennai,228.0,269.0,92.0,94.6,7.42,187.7,111.6
Kolkata,213.8,563.9,52.8,2.5,9.98,73.2,493.9
Bangalore,297.8,109.8,8.2,16.1,0.84,160.9,143.9
Delhi,147.3,217.6,14.8,38.3,0.77,7.1,250.9
Mumbai,203.1,421.2,62.1,79.1,7.73,36.3,181.2
Chennai,430.2,225.4,60.5,81.7,7.79,49.8,191.3
Kolkata,207.8,49.5,37.8,21.3,4.1,156.0,395.9
Bangalore,68.5,541.9,120.7,42.7,6.53,161.4,107.0
Delhi,371.2,413.9,62.8,66.6,0.88,34.5,18.8
Mumbai,125.9,352.8,105.1,97.9,5.24,34.9,359.6
Chennai,381.0,171.7,149.6,83.0,8.94,170.8,359.6
Kolkata,197.5,300.3,56.1,22.2,6.0,64.1,249.1
Bangalore,396.3,434.3,102.5,48.4,5.28,96.6,48.4
Delhi,476.9,337.9,22.8,63.7,7.21,96.5,195.7
Mumbai,114.9,542.5,95.5,88.0,2.78,46.0,464.7
Chennai,246.4,394.2,139.0,5.3,7.4,17.4,377.7
Kolkata,144.3,43.8,9.1,69.2,6.07,119.3,440.2
Bangalore,141.1,47.6,14.5,82.3,6.61,97.2,213.8
Delhi,228.1,79.2,43.8,93.9,7.14,83.1,413.4
Mumbai,150.1,583.6,35.0,79.5,8.15,45.1,433.7
Chennai,4.4,449.4,123.7,7.1,3.7,26.4,288.5
Kolkata,188.1,548.4,72.6,74.5,9.75,94.6,358.1
Bangalore,472.7,155.1,141.8,49.7,0.75,10.0,73.5
Delhi,340.6,108.0,103.2,82.7,6.54,183.9,273.5
Mumbai,152.2,50.3,24.4,85.1,7.42,136.4,235.6
Chennai,161.1,13.0,77.9,23.7,1.15,138.6,340.0
Kolkata,108.8,30.5,88.6,58.1,4.04,137.4,403.2
Bangalore,0.6,565.0,139.6,14.7,5.31,71.3,224.5
Delhi,178.6,12.5,134.5,51.9,8.36,110.7,380.4
Mumbai,69.5,3.7,143.9,1.1,1.38,0.2,198.6
Chennai,240.1,329.5,138.8,72.2,1.25,107.7,121.1
Kolkata,103.8,339.6,6.2,60.7,4.82,86.4,304.6
Bangalore,268.1,54.3,145.8,77.2,0.98,98.2,268.3
Delhi,335.2,258.8,124.8,23.3,6.09,129.1,455.1
Mumbai,411.7,440.8,37.3,55.4,7.13,92.4,11.8
Chennai,415.4,440.0,92.5,37.9,0.58,151.6,236.2
Kolkata,269.9,453.0,94.7,38.8,5.23,16.7,306.9
Bangalore,479.6,482.6,85.8,2.1,8.55,133.8,202.2
Delhi,363.5,244.6,14.8,98.4,4.14,166.2,53.2
Mumbai,444.0,1.1,31.8,77.6,7.43,161.6,416.8
Chennai,426.0,225.1,65.0,55.2,8.98,60.7,480.9
Kolkata,111.6,221.1,47.9,92.9,2.03,185.4,155.3
Bangalore,355.1,317.4,57.4,46.5,7.67,84.1,48.7
Delhi,3.3,507.2,67.1,28.7,5.16,178.2,430.9
Mumbai,413.0,572.3,74.1,8.7,0.02,157.5,337.9
Chennai,323.3,266.0,85.2,79.7,5.77,197.4,495.3
Kolkata,427.3,363.9,71.6,72.5,2.49,199.5,404.4
Bangalore,344.2,385.4,136.0,99.9,1.17,131.8,450.3
Delhi,392.9,580.8,137.5,2.4,0.46,159.5,26.2
Mumbai,388.7,493.1,110.1,9.2,1.89,120.3,468.6
Chennai,499.0,209.5,48.8,4.5,4.01,112.9,425.5
Kolkata,36.1,4.7,27.9,51.2,0.83,35.2,432.0
Bangalore,140.5,164.4,65.1,48.8,8.12,110.8,271.8
Delhi,280.4,202.0,7.6,44.2,3.01,127.3,173.6
Mumbai,400.2,409.5,97.1,89.9,9.25,46.0,465.1
Chennai,471.4,191.1,86.2,18.6,0.7,123.6,499.4
Kolkata,472.0,62.1,48.1,81.3,0.25,126.7,101.6
Bangalore,412.6,418.1,143.9,61.7,2.74,51.8,265.6
Delhi,408.6,554.9,139.1,55.2,6.66,38.9,492.3
Mumbai,248.4,31.8,87.8,81.0,4.76,75.4,191.1
Chennai,56.8,551.4,112.9,91.0,7.94,13.9,236.5
Kolkata,170.4,226.4,37.0,47.3,5.48,181.2,150.4
Bangalore,41.2,266.8,131.2,83.6,6.39,69.4,0.4
Delhi,493.2,434.0,74.7,46.9,3.22,27.9,491.9
Mumbai,319.3,484.0,44.9,6.8,8.62,183.2,371.5
Chennai,413.0,407.0,87.7,30.0,6.83,85.2,219.9
Kolkata,30.6,147.7,43.9,26.3,6.25,178.2,382.9
Bangalore,87.5,100.8,85.5,80.0,2.48,36.5,469.6
Delhi,391.9,595.5,34.9,5.7,2.34,191.9,246.5
Mumbai,141.6,297.8,114.7,15.5,3.32,191.7,368.2
Chennai,380.5,395.4,121.2,14.9,0.68,127.0,225.9
Kolkata,72.3,331.5,104.5,91.5,1.72,116.9,253.3
Bangalore,444.4,203.4,74.3,48.7,6.45,35.7,45.0
Delhi,108.9,397.6,41.8,65.1,6.53,160.4,169.0
Mumbai,210.0,53.6,148.9,71.3,7.8,93.6,281.7
Chennai,335.3,263.7,100.7,52.1,9.82,114.5,116.1
Kolkata,361.7,282.6,75.9,18.1,2.53,153.1,98.5
Bangalore,343.2,384.9,132.5,44.6,8.79,177.9,416.6
Delhi,182.4,529.3,121.6,79.0,4.85,89.5,336.0
Mumbai,174.6,109.7,109.6,34.0,1.72,60.8,276.3
Chennai,403.4,76.0,131.8,3.3,7.03,54.3,240.6
Kolkata,229.3,517.0,25.9,5.9,6.96,27.9,416.8
Bangalore,9.4,555.7,133.7,57.5,6.43,187.9,392.2
Delhi,65.0,168.6,47.9,39.6,6.34,107.5,447.1
Mumbai,440.3,582.8,33.3,24.6,8.04,182.4,299.6
Chennai,300.5,45.3,36.3,77.6,6.09,9.2,402.4
Kolkata,479.9,80.8,2.6,88.8,6.15,168.9,106.1
Bangalore,220.7,542.5,99.6,11.0,2.78,186.7,73.9
Delhi,242.4,458.8,108.5,66.5,9.82,179.1,61.9
Mumbai,423.1,574.3,56.5,86.6,0.05,77.4,473.0
Chennai,188.6,476.6,48.3,5.2,8.66,17.3,53.5
Kolkata,214.5,14.7,37.4,4.2,1.88,9.4,266.1
Bangalore,13.0,301.2,65.0,13.6,8.35,8.2,172.9
Delhi,41.7,501.3,146.9,39.4,4.58,105.4,263.2
Mumbai,63.2,555.8,55.9,85.7,0.46,83.5,401.6
Chennai,164.2,131.4,101.2,51.5,7.61,75.1,435.9
Kolkata,118.1,431.1,139.7,19.5,6.8,111.4,233.6
Bangalore,369.5,390.2,91.1,83.8,1.48,146.8,7.9
Delhi,133.8,580.0,59.2,24.6,7.5,21.7,80.3
Mumbai,128.7,546.1,149.0,13.7,0.67,162.9,340.2
Chennai,84.0,265.7,11.5,38.2,2.21,18.0,221.1
Kolkata,360.7,295.8,135.6,76.4,9.16,62.3,40.4
Bangalore,274.6,55.3,46.3,15.1,0.86,26.9,241.4
Delhi,78.8,105.3,78.1,67.9,6.88,46.2,424.7
Mumbai,399.5,527.6,76.8,81.0,2.01,164.2,239.0
Chennai,4.6,62.0,51.2,2.8,6.81,52.4,83.1
Kolkata,135.6,299.7,30.5,57.6,6.87,195.2,277.6
Bangalore,462.9,530.5,72.0,55.3,3.92,20.0,361.8
Delhi,115.5,178.0,147.3,40.4,6.16,135.8,339.8
Mumbai,451.8,190.9,116.0,50.4,1.38,29.2,111.4
Chennai,186.3,217.6,35.0,8.9,2.67,111.3,168.7
Kolkata,140.6,380.3,69.9,44.4,6.82,37.0,477.8
Bangalore,180.8,353.9,31.1,69.3,9.93,20.7,413.8
Delhi,117.3,392.2,41.7,21.2,6.23,9.6,52.1
Mumbai,75.0,503.2,116.1,69.8,3.41,63.0,387.8
Chennai,287.6,102.0,124.8,16.4,6.35,27.7,105.1
Kolkata,344.2,160.4,51.2,37.7,8.57,93.7,201.5
Bangalore,14.5,489.8,69.8,24.5,6.54,124.6,107.8
Delhi,309.2,150.5,129.2,90.3,3.39,87.2,320.1
Mumbai,308.3,530.8,96.7,90.0,5.13,179.9,105.0
Chennai,21.8,31.2,7.5,90.3,4.28,176.8,466.4
Kolkata,457.4,590.3,111.8,72.1,7.42,65.1,16.9
Bangalore,180.6,548.9,55.6,76.2,8.48,10.5,104.8
Delhi,307.4,257.0,5.4,80.2,0.33,17.8,93.5
Mumbai,447.3,359.9,42.5,69.9,2.9,0.6,202.7
Chennai,148.4,342.3,129.0,6.6,0.81,72.6,214.2
Kolkata,88.4,422.8,136.8,70.9,2.76,111.2,202.8
Bangalore,249.4,307.8,109.4,41.4,4.93,65.9,217.8
Delhi,121.1,111.7,120.2,30.7,4.02,142.7,70.2
Mumbai,389.0,124.1,62.8,75.7,7.78,148.8,41.2
Chennai,328.3,83.3,54.2,73.8,8.54,73.2,244.1
Kolkata,194.8,42.8,114.9,0.8,0.31,50.8,30.4
Bangalore,326.8,350.1,47.5,66.4,3.43,169.1,52.7
Delhi,78.6,198.1,120.8,33.7,7.0,167.5,155.0
Mumbai,251.6,591.8,29.1,27.8,1.34,13.2,417.2
Chennai,266.2,408.8,6.2,56.1,2.58,15.3,284.6
Kolkata,63.5,86.6,35.8,41.4,1.96,115.1,104.4
Bangalore,349.7,192.2,13.8,87.6,5.01,121.8,301.3
Delhi,362.5,532.5,31.0,74.9,9.31,0.3,475.2
Mumbai,11.6,521.4,29.0,22.5,9.1,36.7,469.7
Chennai,234.1,377.6,111.4,52.8,0.97,52.3,262.6
Kolkata,136.1,109.8,43.3,28.3,2.36,75.1,208.2
Bangalore,274.6,417.5,10.9,97.0,8.21,197.3,240.7
Delhi,469.7,512.2,25.3,76.1,7.8,22.3,156.8
Mumbai,185.5,359.1,62.9,71.3,5.86,108.0,413.3
Chennai,46.0,530.5,19.0,54.7,10.0,135.2,343.7
Kolkata,198.9,276.0,48.2,27.0,1.36,61.6,135.8
Bangalore,446.3,285.1,101.2,25.5,6.47,81.6,428.5
Delhi,214.2,156.7,70.9,46.1,3.65,169.0,266.4
Mumbai,438.9,524.5,76.6,23.3,7.43,111.4,393.3
Chennai,295.4,549.1,59.7,91.1,0.76,187.8,188.8
Kolkata,353.5,28.0,127.4,8.0,0.7,80.5,118.4
Bangalore,47.5,20.8,39.8,10.8,2.57,2.0,288.7
Delhi,156.1,40.5,72.0,25.3,5.28,112.8,168.8
Mumbai,57.9,209.6,55.0,84.7,5.85,99.3,479.0
Chennai,480.6,541.6,52.0,57.0,7.58,126.0,42.7
Kolkata,417.9,170.1,39.1,44.0,7.86,98.0,430.7
Bangalore,4.1,549.9,22.6,78.9,8.06,106.8,348.4
Delhi,339.3,230.4,118.1,33.3,8.25,26.7,371.4
Mumbai,45.7,307.3,149.0,38.1,1.91,182.9,499.8
Chennai,196.8,236.9,79.7,97.2,3.16,51.1,350.8
Kolkata,139.9,562.7,91.5,72.2,6.83,28.1,108.1
Bangalore,372.5,378.2,108.0,4.3,0.35,17.9,278.8
Delhi,347.9,208.6,92.1,15.4,4.63,151.5,54.4
Mumbai,39.4,568.2,83.5,25.9,5.75,194.9,423.1
Chennai,205.9,89.8,144.5,13.3,7.67,52.4,476.2
Kolkata,64.0,242.7,89.0,27.5,1.44,186.8,50.2
Bangalore,382.6,451.3,84.8,98.5,9.1,61.2,241.9
Delhi,40.0,594.6,41.1,0.3,6.27,52.1,370.3
Mumbai,41.5,508.3,123.0,18.3,0.39,78.9,146.3
Chennai,100.3,170.3,58.3,99.2,2.79,74.7,256.1
Kolkata,432.4,330.2,77.3,57.3,3.18,139.6,285.7
Bangalore,50.3,74.1,30.4,17.4,4.18,74.2,254.2
Delhi,3.4,354.3,109.8,57.7,8.79,142.4,76.9
Mumbai,79.7,189.6,140.0,52.6,5.99,57.2,28.7
Chennai,321.7,441.1,99.5,68.2,6.93,130.7,33.7
Kolkata,23.6,545.7,49.9,42.8,1.05,161.8,258.7
Bangalore,278.4,485.5,37.3,34.7,0.56,193.9,19.5
Delhi,204.5,312.4,55.9,56.9,7.88,121.1,423.8
Mumbai,224.5,436.8,87.3,22.8,3.06,69.6,180.5
Chennai,475.2,509.4,85.6,3.5,3.86,75.4,292.9
Kolkata,167.8,161.6,137.1,84.2,6.57,120.5,161.7
Bangalore,282.7,208.5,116.4,52.1,1.2,46.9,100.8
Delhi,409.7,406.0,75.0,47.1,0.73,181.5,306.3
Mumbai,438.9,566.2,146.3,12.6,0.53,107.7,136.0
Chennai,416.0,237.5,109.6,89.0,3.92,125.4,414.2
Kolkata,405.2,266.4,59.7,85.4,2.84,113.9,199.4
Bangalore,272.8,56.5,58.7,57.2,6.41,177.1,34.0
Delhi,78.2,508.9,61.5,65.3,8.17,54.9,352.5
Mumbai,264.3,123.1,118.5,78.4,9.51,82.3,391.0
Chennai,384.6,277.0,86.5,24.0,8.55,108.0,180.2
Kolkata,42.5,561.8,27.6,79.5,8.97,27.3,346.6
Bangalore,129.8,80.5,43.2,63.4,7.18,89.5,481.2
Delhi,204.1,11.3,26.1,57.9,5.15,132.8,311.9
Mumbai,382.1,104.0,19.4,87.7,7.54,151.6,54.1
Chennai,387.3,165.2,91.9,41.2,2.91,154.6,473.9
Kolkata,200.8,240.0,65.5,65.5,6.58,146.0,251.4
Bangalore,301.5,96.7,137.5,67.7,2.93,36.0,297.6
Delhi,44.4,419.3,82.8,81.4,4.8,148.5,447.5
Mumbai,80.4,40.8,67.1,38.2,9.82,134.6,331.6
Chennai,226.0,62.2,0.7,50.9,1.32,63.8,94.0
Kolkata,443.6,454.3,104.6,12.6,7.83,149.2,126.3
Bangalore,107.8,372.5,126.3,19.5,5.73,101.5,230.8
Delhi,345.7,13.7,122.7,29.1,7.25,78.9,205.8
Mumbai,466.5,77.9,54.2,73.8,7.61,78.8,477.4
Chennai,336.2,582.4,82.8,17.0,9.26,118.1,211.5
Kolkata,361.4,365.0,72.7,95.5,7.64,30.6,175.7
Bangalore,428.5,86.3,6.2,12.0,7.77,157.4,409.5
Delhi,237.5,336.0,50.6,28.8,5.52,141.8,322.0
Mumbai,250.6,555.3,122.4,70.4,1.7,119.6,110.5
Chennai,367.2,157.1,97.3,87.8,8.43,70.5,137.4
Kolkata,56.5,462.9,122.1,57.8,3.61,142.6,99.2
Bangalore,388.8,19.2,85.9,72.0,1.43,109.8,338.0
Delhi,295.4,308.6,144.7,30.8,9.61,26.1,468.1
Mumbai,443.9,81.0,12.5,23.6,2.13,88.3,413.6
Chennai,395.0,583.5,135.8,56.9,6.47,110.7,283.1
Kolkata,173.7,496.9,22.4,4.8,9.63,2.0,400.7
Bangalore,119.2,522.2,147.9,51.8,9.04,99.3,305.7
Delhi,288.3,560.5,47.2,86.7,0.58,113.7,250.2
Mumbai,48.2,205.0,130.1,50.7,5.7,39.9,147.9
Chennai,309.0,436.2,136.1,98.6,1.57,194.3,264.4
Kolkata,423.3,434.9,93.4,98.9,9.59,186.1,498.8
Bangalore,17.4,327.2,104.5,81.5,0.13,22.6,291.6
Delhi,321.8,281.6,3.7,52.4,3.6,3.5,106.8
Mumbai,14.8,360.1,31.8,13.8,1.89,105.7,311.2
Chennai,221.8,481.0,141.8,39.2,9.44,28.8,125.0
Kolkata,496.0,528.0,107.9,21.8,2.47,43.5,471.6
Bangalore,123.4,237.5,21.8,40.3,5.41,163.4,255.8
Delhi,15.6,354.2,31.0,19.6,4.69,55.8,325.1
Mumbai,373.9,543.4,27.8,39.3,9.83,152.4,38.4
Chennai,455.9,323.9,133.4,49.1,3.91,137.7,449.4
Kolkata,479.1,482.4,109.8,53.0,9.11,45.0,475.4
Bangalore,468.8,38.3,141.1,45.9,6.78,191.0,367.4
Delhi,227.9,123.9,124.2,28.3,9.71,39.0,240.8
Mumbai,252.1,17.5,95.5,41.0,6.38,183.1,126.3
Chennai,99.6,157.8,3.5,36.5,5.03,184.4,252.4
Kolkata,307.1,375.2,38.6,76.5,0.18,162.9,210.8
Bangalore,80.7,246.6,111.2,48.8,7.72,86.9,30.6
Delhi,192.8,210.7,49.7,38.0,7.0,151.7,249.0
Mumbai,143.7,405.1,50.5,5.5,8.78,177.2,136.5
Chennai,35.1,183.8,60.3,36.4,0.65,49.3,497.7
Kolkata,52.2,336.0,81.8,5.6,5.4,82.2,319.6
Bangalore,132.3,378.0,56.6,52.4,4.23,195.4,489.3
Delhi,436.8,37.8,55.3,63.1,8.66,32.6,160.5
Mumbai,264.6,160.4,139.2,16.7,7.83,187.7,344.6
Chennai,178.3,510.7,79.1,86.2,4.05,120.1,454.0
Kolkata,278.0,208.9,35.9,79.3,5.44,173.4,341.4
Bangalore,482.4,37.4,137.1,34.8,4.57,64.9,467.2
Delhi,245.8,30.0,45.6,25.7,3.24,106.6,457.4
Mumbai,148.5,246.8,88.1,80.6,3.42,86.3,485.1
Chennai,50.5,321.1,121.6,12.6,7.54,127.4,290.3
Kolkata,263.5,374.5,13.7,99.0,2.29,74.6,92.9
Bangalore,164.0,255.6,73.7,41.7,3.85,29.3,328.8
Delhi,367.6,184.7,19.4,20.1,4.34,126.0,257.2
Mumbai,1.3,441.9,22.4,7.9,6.53,163.6,229.2
Chennai,87.9,270.5,91.5,66.2,1.15,33.9,364.2
Kolkata,238.3,100.4,113.0,56.1,0.19,197.7,397.1
Bangalore,450.2,178.3,28.1,81.3,3.68,35.2,172.9
Delhi,60.4,294.2,77.1,25.8,0.05,119.8,231.9
Mumbai,140.2,41.2,59.3,19.2,8.77,168.4,132.5
Chennai,482.9,384.4,79.9,87.5,7.49,9.3,83.2
Kolkata,191.8,519.2,90.6,26.9,4.37,94.2,141.3
Bangalore,10.1,136.8,149.1,76.1,5.18,127.0,270.3
Delhi,243.9,563.1,125.9,41.1,0.36,75.0,36.6
Mumbai,256.9,188.9,110.1,35.5,3.1,129.7,230.1
Chennai,295.8,85.5,24.3,64.2,9.8,27.1,98.4
Kolkata,340.9,317.7,42.6,76.6,3.2,174.9,300.5
Bangalore,215.7,205.0,117.9,65.4,3.11,61.7,262.3
Delhi,202.1,76.4,28.3,77.5,4.3,74.7,246.9
Mumbai,400.6,320.9,37.0,21.8,2.19,24.7,44.8
Chennai,476.4,191.7,74.2,68.1,2.72,1.1,490.3
Kolkata,298.0,544.4,19.6,33.2,6.69,175.8,276.4
Bangalore,242.6,50.9,108.6,0.5,6.42,136.3,130.3
Delhi,74.2,9.9,145.2,98.7,9.93,165.5,67.6
Mumbai,361.8,430.6,41.2,2.2,1.92,29.8,258.4
Chennai,214.4,518.1,3.7,6.7,1.38,145.5,465.1
Kolkata,176.8,570.3,128.5,72.6,9.91,54.1,398.0
Bangalore,71.6,140.0,100.4,60.1,2.54,43.3,478.0
Delhi,369.2,257.0,109.3,9.6,6.73,84.9,405.3
Mumbai,451.2,301.5,120.5,26.9,4.58,86.5,474.4
Chennai,171.2,442.8,137.4,40.9,3.34,156.9,314.5
Kolkata,31.3,220.9,120.3,23.3,5.43,2.1,158.4
Bangalore,380.1,355.7,31.8,55.5,7.75,20.1,170.9
Delhi,474.0,512.0,123.7,21.6,2.73,141.1,416.8
Mumbai,394.4,383.2,54.7,34.0,3.16,141.5,410.6
Chennai,159.7,284.4,146.1,0.8,9.85,134.8,120.1
Kolkata,198.9,430.2,130.3,73.7,1.31,127.5,174.7
Bangalore,393.8,510.8,33.1,40.0,6.18,155.7,491.5
Delhi,341.3,465.9,8.7,49.4,0.44,9.0,375.6
Mumbai,374.9,150.7,24.7,23.0,5.02,139.5,109.9
Chennai,326.1,239.2,71.4,27.9,6.09,112.7,405.7
Kolkata,2.8,401.9,5.2,0.7,5.47,135.0,436.1
Bangalore,283.8,321.2,57.8,74.0,4.17,163.8,246.5
Delhi,289.4,189.6,52.8,39.5,7.05,119.6,139.3
Mumbai,470.3,315.7,109.2,10.4,0.11,181.3,133.2
Chennai,405.6,340.8,99.0,77.2,5.71,132.7,87.6
Kolkata,446.4,369.7,141.3,10.6,0.34,6.4,23.3
Bangalore,440.9,47.8,4.1,14.9,5.87,86.1,8.3
Delhi,21.3,102.7,136.3,46.4,3.99,1.8,341.4
Mumbai,272.2,326.7,13.7,6.9,0.94,86.6,441.2
Chennai,212.1,356.2,29.4,59.7,0.54,147.7,300.1
Kolkata,287.8,115.9,101.9,35.6,7.94,107.5,277.2
Bangalore,403.1,370.2,98.6,95.4,5.98,14.7,324.5
Delhi,411.6,13.6,79.2,18.7,5.61,192.7,58.8
Mumbai,73.5,63.0,18.0,64.2,9.76,111.0,486.5
Chennai,190.4,142.9,76.8,1.2,4.94,176.3,313.9
Kolkata,329.7,413.7,129.4,97.7,6.75,104.0,193.2
Bangalore,299.1,455.4,106.6,40.4,2.14,19.0,425.8
Delhi,92.8,209.4,23.9,97.6,6.03,104.9,364.4
Mumbai,174.4,178.2,138.8,27.7,5.46,169.7,52.6
Chennai,415.8,280.8,115.2,84.2,9.17,167.7,487.6
Kolkata,452.0,51.7,9.6,16.1,0.85,141.3,488.0
Bangalore,196.3,338.1,35.6,16.7,7.3,165.5,461.1
Delhi,443.4,335.9,2.2,63.7,3.95,24.2,427.7
Mumbai,488.6,68.3,92.9,31.3,2.06,95.4,379.9
Chennai,99.5,0.7,113.1,17.7,6.61,90.2,474.6
Kolkata,452.8,258.6,81.1,60.3,7.4,170.9,317.4
Bangalore,434.2,324.0,101.0,11.8,5.29,114.9,240.8
Delhi,218.5,482.4,23.1,66.8,2.46,60.9,369.7
Mumbai,388.0,364.0,90.1,93.1,0.73,136.0,4.4
Chennai,417.4,409.9,143.2,84.5,3.86,151.1,494.2
Kolkata,282.7,449.9,47.7,16.2,6.99,193.0,73.7
Bangalore,163.5,586.8,133.6,9.8,9.37,143.9,0.8
Delhi,245.3,235.9,3.4,81.8,2.49,51.9,274.9
Mumbai,69.5,497.4,116.5,96.9,6.03,72.6,344.5
Chennai,432.8,22.2,47.4,58.5,0.38,104.1,63.1
Kolkata,36.5,370.9,17.1,4.7,3.49,5.9,88.9
Bangalore,129.6,144.1,132.5,90.4,0.73,22.6,133.5
Delhi,327.5,16.2,88.9,29.1,4.18,83.6,15.1
Mumbai,341.6,60.9,130.5,63.1,3.03,38.6,294.5
Chennai,457.7,115.8,10.6,4.3,1.31,44.7,329.0
Kolkata,61.9,55.7,31.6,14.8,1.95,99.6,77.9
Bangalore,20.6,14.8,92.9,100.0,0.81,75.8,176.2
Delhi,40.2,36.5,69.7,66.8,8.16,8.1,303.8
Mumbai,256.3,393.6,147.6,36.6,9.4,163.2,249.4
Chennai,17.2,3.0,39.5,63.9,4.84,163.1,225.5
Kolkata,185.9,213.2,38.5,30.1,0.95,31.8,160.9
Bangalore,230.1,136.1,4.0,2.8,2.13,86.0,448.6
Delhi,315.7,476.4,125.8,67.8,7.71,6.3,198.0
Mumbai,403.5,407.4,46.0,44.1,3.43,194.8,68.7
Chennai,400.8,489.8,113.4,63.2,5.28,135.6,115.5
Kolkata,430.4,396.7,133.7,51.8,8.09,198.6,104.8
Bangalore,325.9,281.3,94.8,20.7,1.59,141.7,356.9
Delhi,404.1,164.7,70.4,27.9,7.88,35.1,223.8
Mumbai,14.2,508.5,31.8,58.1,8.27,94.0,270.4
Chennai,260.1,309.6,56.2,85.1,5.67,100.5,222.7
Kolkata,468.6,470.6,63.1,93.0,0.71,194.3,360.4
Bangalore,430.3,210.2,81.3,20.9,3.28,169.8,491.2
Delhi,498.8,167.4,126.1,66.8,5.26,158.5,316.3
Mumbai,455.3,468.4,18.5,73.3,3.32,9.3,291.2
Chennai,11.0,13.4,86.2,86.3,7.48,36.3,399.3
Kolkata,9.1,441.4,120.6,51.4,9.43,1.2,123.3
Bangalore,308.9,140.2,19.4,29.0,5.53,103.6,299.6
Delhi,91.0,582.5,114.3,84.0,4.12,156.7,163.7
Mumbai,469.8,334.2,77.3,42.0,2.41,38.5,332.8
Chennai,123.9,25.7,39.7,14.9,9.68,41.5,205.4
Kolkata,345.6,228.4,113.6,28.0,5.63,152.9,259.7
Bangalore,376.3,539.7,104.0,64.7,4.21,18.5,278.0
Delhi,354.8,594.5,21.4,95.3,1.26,112.1,332.4
Mumbai,150.5,375.7,23.8,96.6,6.21,86.1,57.3
Chennai,26.2,450.6,100.0,79.9,1.03,57.8,497.2
Kolkata,435.3,433.4,24.9,79.9,6.79,127.5,60.5
Bangalore,135.9,369.3,77.3,38.6,3.42,160.4,119.6
Delhi,329.1,196.3,43.6,0.5,6.7,11.9,189.2
